SQ2 chunk 0000
Input: /scratch/mberzins/results/bodmas_5000_qwen35_2b_promptv2_5runs/prometheus_600sample_gen_run_01_v3/chunks/sq2/chunk_0000.jsonl
Output: /scratch/mberzins/results/bodmas_5000_qwen35_2b_promptv2_5runs/prometheus_600sample_gen_run_01_v3/outputs/sq2/chunk_0000_judged.jsonl
Model: /scratch/mberzins/models/prometheus-7b-v2.0
Sat Jun 20 03:37:00 CEST 2026
Task: sq2
Input rows: 400
Already done in output: 0
Output: /scratch/mberzins/results/bodmas_5000_qwen35_2b_promptv2_5runs/prometheus_600sample_gen_run_01_v3/outputs/sq2/chunk_0000_judged.jsonl
Loading tokenizer: /scratch/mberzins/models/prometheus-7b-v2.0
Loading Prometheus model in 4-bit: /scratch/mberzins/models/prometheus-7b-v2.0
Computed prior score preferences.
processed_new=5 skipped=0 row_index=5/400 last_expected=3.060 last_hard=3.0
processed_new=10 skipped=0 row_index=10/400 last_expected=2.696 last_hard=1.0
processed_new=15 skipped=0 row_index=15/400 last_expected=2.571 last_hard=1.0
processed_new=20 skipped=0 row_index=20/400 last_expected=2.666 last_hard=1.0
processed_new=25 skipped=0 row_index=25/400 last_expected=2.689 last_hard=2.0
processed_new=30 skipped=0 row_index=30/400 last_expected=3.322 last_hard=4.0
processed_new=35 skipped=0 row_index=35/400 last_expected=2.742 last_hard=1.0
processed_new=40 skipped=0 row_index=40/400 last_expected=2.698 last_hard=1.0
processed_new=45 skipped=0 row_index=45/400 last_expected=3.222 last_hard=4.0
processed_new=50 skipped=0 row_index=50/400 last_expected=2.749 last_hard=1.0
processed_new=55 skipped=0 row_index=55/400 last_expected=2.708 last_hard=1.0
processed_new=60 skipped=0 row_index=60/400 last_expected=3.163 last_hard=3.0
processed_new=65 skipped=0 row_index=65/400 last_expected=2.705 last_hard=1.0
processed_new=70 skipped=0 row_index=70/400 last_expected=2.772 last_hard=2.0
processed_new=75 skipped=0 row_index=75/400 last_expected=2.864 last_hard=2.0
