SQ1 chunk 0001
Input: /scratch/mberzins/results/bodmas_5000_qwen35_2b_promptv2_5runs/prometheus_600sample_gen_run_01_v3/chunks/sq1/chunk_0001.jsonl
Output: /scratch/mberzins/results/bodmas_5000_qwen35_2b_promptv2_5runs/prometheus_600sample_gen_run_01_v3/outputs/sq1/chunk_0001_judged.jsonl
Model: /scratch/mberzins/models/prometheus-7b-v2.0
Fri Jun 19 18:37:41 CEST 2026
Task: sq1
Input rows: 400
Already done in output: 0
Output: /scratch/mberzins/results/bodmas_5000_qwen35_2b_promptv2_5runs/prometheus_600sample_gen_run_01_v3/outputs/sq1/chunk_0001_judged.jsonl
Loading tokenizer: /scratch/mberzins/models/prometheus-7b-v2.0
Loading Prometheus model in 4-bit: /scratch/mberzins/models/prometheus-7b-v2.0
Computed prior score preferences.
processed_new=5 skipped=0 row_index=5/400 last_expected=2.801 last_hard=2.0
processed_new=10 skipped=0 row_index=10/400 last_expected=2.888 last_hard=2.0
processed_new=15 skipped=0 row_index=15/400 last_expected=2.716 last_hard=1.0
processed_new=20 skipped=0 row_index=20/400 last_expected=2.611 last_hard=1.0
processed_new=25 skipped=0 row_index=25/400 last_expected=2.722 last_hard=1.0
processed_new=30 skipped=0 row_index=30/400 last_expected=2.894 last_hard=2.0
processed_new=35 skipped=0 row_index=35/400 last_expected=2.865 last_hard=2.0
processed_new=40 skipped=0 row_index=40/400 last_expected=2.872 last_hard=2.0
processed_new=45 skipped=0 row_index=45/400 last_expected=2.709 last_hard=1.0
processed_new=50 skipped=0 row_index=50/400 last_expected=3.023 last_hard=3.0
processed_new=55 skipped=0 row_index=55/400 last_expected=2.694 last_hard=1.0
processed_new=60 skipped=0 row_index=60/400 last_expected=2.672 last_hard=1.0
processed_new=65 skipped=0 row_index=65/400 last_expected=2.868 last_hard=2.0
processed_new=70 skipped=0 row_index=70/400 last_expected=2.946 last_hard=3.0
processed_new=75 skipped=0 row_index=75/400 last_expected=2.819 last_hard=2.0
processed_new=80 skipped=0 row_index=80/400 last_expected=2.870 last_hard=2.0
processed_new=85 skipped=0 row_index=85/400 last_expected=2.769 last_hard=1.0
processed_new=90 skipped=0 row_index=90/400 last_expected=2.936 last_hard=3.0
processed_new=95 skipped=0 row_index=95/400 last_expected=2.864 last_hard=2.0
processed_new=100 skipped=0 row_index=100/400 last_expected=2.842 last_hard=2.0
processed_new=105 skipped=0 row_index=105/400 last_expected=2.732 last_hard=2.0
processed_new=110 skipped=0 row_index=110/400 last_expected=2.838 last_hard=2.0
processed_new=115 skipped=0 row_index=115/400 last_expected=2.735 last_hard=1.0
processed_new=120 skipped=0 row_index=120/400 last_expected=2.832 last_hard=2.0
processed_new=125 skipped=0 row_index=125/400 last_expected=2.780 last_hard=1.0
processed_new=130 skipped=0 row_index=130/400 last_expected=2.773 last_hard=1.0
processed_new=135 skipped=0 row_index=135/400 last_expected=2.800 last_hard=1.0
processed_new=140 skipped=0 row_index=140/400 last_expected=2.998 last_hard=3.0
processed_new=145 skipped=0 row_index=145/400 last_expected=2.653 last_hard=1.0
processed_new=150 skipped=0 row_index=150/400 last_expected=2.859 last_hard=2.0
processed_new=155 skipped=0 row_index=155/400 last_expected=3.006 last_hard=3.0
processed_new=160 skipped=0 row_index=160/400 last_expected=2.662 last_hard=1.0
processed_new=165 skipped=0 row_index=165/400 last_expected=2.741 last_hard=1.0
processed_new=170 skipped=0 row_index=170/400 last_expected=2.975 last_hard=4.0
processed_new=175 skipped=0 row_index=175/400 last_expected=2.684 last_hard=1.0
processed_new=180 skipped=0 row_index=180/400 last_expected=2.799 last_hard=2.0
processed_new=185 skipped=0 row_index=185/400 last_expected=2.708 last_hard=2.0
processed_new=190 skipped=0 row_index=190/400 last_expected=2.927 last_hard=3.0
processed_new=195 skipped=0 row_index=195/400 last_expected=2.607 last_hard=1.0
processed_new=200 skipped=0 row_index=200/400 last_expected=2.836 last_hard=2.0
processed_new=205 skipped=0 row_index=205/400 last_expected=2.821 last_hard=2.0
processed_new=210 skipped=0 row_index=210/400 last_expected=2.761 last_hard=1.0
processed_new=215 skipped=0 row_index=215/400 last_expected=3.288 last_hard=4.0
processed_new=220 skipped=0 row_index=220/400 last_expected=2.932 last_hard=2.0
processed_new=225 skipped=0 row_index=225/400 last_expected=2.872 last_hard=2.0
processed_new=230 skipped=0 row_index=230/400 last_expected=2.616 last_hard=1.0
processed_new=235 skipped=0 row_index=235/400 last_expected=2.862 last_hard=2.0
processed_new=240 skipped=0 row_index=240/400 last_expected=2.857 last_hard=2.0
processed_new=245 skipped=0 row_index=245/400 last_expected=3.006 last_hard=3.0
processed_new=250 skipped=0 row_index=250/400 last_expected=2.790 last_hard=2.0
processed_new=255 skipped=0 row_index=255/400 last_expected=2.864 last_hard=2.0
processed_new=260 skipped=0 row_index=260/400 last_expected=2.948 last_hard=3.0
processed_new=265 skipped=0 row_index=265/400 last_expected=2.782 last_hard=1.0
processed_new=270 skipped=0 row_index=270/400 last_expected=2.662 last_hard=1.0
processed_new=275 skipped=0 row_index=275/400 last_expected=3.009 last_hard=3.0
processed_new=280 skipped=0 row_index=280/400 last_expected=2.897 last_hard=3.0
processed_new=285 skipped=0 row_index=285/400 last_expected=2.960 last_hard=2.0
processed_new=290 skipped=0 row_index=290/400 last_expected=2.992 last_hard=3.0
processed_new=295 skipped=0 row_index=295/400 last_expected=2.722 last_hard=2.0
processed_new=300 skipped=0 row_index=300/400 last_expected=2.833 last_hard=2.0
processed_new=305 skipped=0 row_index=305/400 last_expected=2.974 last_hard=3.0
processed_new=310 skipped=0 row_index=310/400 last_expected=3.125 last_hard=3.0
processed_new=315 skipped=0 row_index=315/400 last_expected=2.730 last_hard=1.0
processed_new=320 skipped=0 row_index=320/400 last_expected=2.873 last_hard=1.0
