SQ2 chunk 0002
Input: /scratch/mberzins/results/bodmas_5000_qwen35_2b_promptv2_5runs/prometheus_600sample_gen_run_01_v3/chunks/sq2/chunk_0002.jsonl
Output: /scratch/mberzins/results/bodmas_5000_qwen35_2b_promptv2_5runs/prometheus_600sample_gen_run_01_v3/outputs/sq2/chunk_0002_judged.jsonl
Model: /scratch/mberzins/models/prometheus-7b-v2.0
Sat Jun 20 08:51:04 CEST 2026
Task: sq2
Input rows: 400
Already done in output: 0
Output: /scratch/mberzins/results/bodmas_5000_qwen35_2b_promptv2_5runs/prometheus_600sample_gen_run_01_v3/outputs/sq2/chunk_0002_judged.jsonl
Loading tokenizer: /scratch/mberzins/models/prometheus-7b-v2.0
Loading Prometheus model in 4-bit: /scratch/mberzins/models/prometheus-7b-v2.0
Computed prior score preferences.
processed_new=5 skipped=0 row_index=5/400 last_expected=3.000 last_hard=3.0
processed_new=10 skipped=0 row_index=10/400 last_expected=3.288 last_hard=3.0
processed_new=15 skipped=0 row_index=15/400 last_expected=2.676 last_hard=1.0
processed_new=20 skipped=0 row_index=20/400 last_expected=2.644 last_hard=1.0
processed_new=25 skipped=0 row_index=25/400 last_expected=3.196 last_hard=3.0
processed_new=30 skipped=0 row_index=30/400 last_expected=2.709 last_hard=2.0
processed_new=35 skipped=0 row_index=35/400 last_expected=2.635 last_hard=1.0
processed_new=40 skipped=0 row_index=40/400 last_expected=2.696 last_hard=1.0
processed_new=45 skipped=0 row_index=45/400 last_expected=2.641 last_hard=1.0
processed_new=50 skipped=0 row_index=50/400 last_expected=2.740 last_hard=1.0
processed_new=55 skipped=0 row_index=55/400 last_expected=3.004 last_hard=3.0
processed_new=60 skipped=0 row_index=60/400 last_expected=3.186 last_hard=3.0
processed_new=65 skipped=0 row_index=65/400 last_expected=3.227 last_hard=3.0
processed_new=70 skipped=0 row_index=70/400 last_expected=3.176 last_hard=3.0
processed_new=75 skipped=0 row_index=75/400 last_expected=3.201 last_hard=4.0
processed_new=80 skipped=0 row_index=80/400 last_expected=2.667 last_hard=1.0
processed_new=85 skipped=0 row_index=85/400 last_expected=3.163 last_hard=3.1
processed_new=90 skipped=0 row_index=90/400 last_expected=2.705 last_hard=1.0
processed_new=95 skipped=0 row_index=95/400 last_expected=2.630 last_hard=1.0
processed_new=100 skipped=0 row_index=100/400 last_expected=2.744 last_hard=2.0
processed_new=105 skipped=0 row_index=105/400 last_expected=3.009 last_hard=3.0
processed_new=110 skipped=0 row_index=110/400 last_expected=2.703 last_hard=1.0
processed_new=115 skipped=0 row_index=115/400 last_expected=3.289 last_hard=4.0
processed_new=120 skipped=0 row_index=120/400 last_expected=2.701 last_hard=1.0
processed_new=125 skipped=0 row_index=125/400 last_expected=2.696 last_hard=1.0
processed_new=130 skipped=0 row_index=130/400 last_expected=2.984 last_hard=3.0
processed_new=135 skipped=0 row_index=135/400 last_expected=3.187 last_hard=3.0
processed_new=140 skipped=0 row_index=140/400 last_expected=2.707 last_hard=1.0
processed_new=145 skipped=0 row_index=145/400 last_expected=2.962 last_hard=3.0
processed_new=150 skipped=0 row_index=150/400 last_expected=2.783 last_hard=2.0
processed_new=155 skipped=0 row_index=155/400 last_expected=2.663 last_hard=1.0
processed_new=160 skipped=0 row_index=160/400 last_expected=3.277 last_hard=4.0
processed_new=165 skipped=0 row_index=165/400 last_expected=3.251 last_hard=4.0
processed_new=170 skipped=0 row_index=170/400 last_expected=2.678 last_hard=1.0
processed_new=175 skipped=0 row_index=175/400 last_expected=3.357 last_hard=4.0
processed_new=180 skipped=0 row_index=180/400 last_expected=3.066 last_hard=3.0
processed_new=185 skipped=0 row_index=185/400 last_expected=2.665 last_hard=1.0
processed_new=190 skipped=0 row_index=190/400 last_expected=2.981 last_hard=3.0
processed_new=195 skipped=0 row_index=195/400 last_expected=3.076 last_hard=3.0
processed_new=200 skipped=0 row_index=200/400 last_expected=3.406 last_hard=4.0
processed_new=205 skipped=0 row_index=205/400 last_expected=3.088 last_hard=3.0
processed_new=210 skipped=0 row_index=210/400 last_expected=3.203 last_hard=3.0
processed_new=215 skipped=0 row_index=215/400 last_expected=3.317 last_hard=4.0
processed_new=220 skipped=0 row_index=220/400 last_expected=3.168 last_hard=3.0
processed_new=225 skipped=0 row_index=225/400 last_expected=2.760 last_hard=1.0
processed_new=230 skipped=0 row_index=230/400 last_expected=2.668 last_hard=1.0
processed_new=235 skipped=0 row_index=235/400 last_expected=2.541 last_hard=1.0
processed_new=240 skipped=0 row_index=240/400 last_expected=3.203 last_hard=3.0
processed_new=245 skipped=0 row_index=245/400 last_expected=3.186 last_hard=3.0
processed_new=250 skipped=0 row_index=250/400 last_expected=3.188 last_hard=3.0
processed_new=255 skipped=0 row_index=255/400 last_expected=3.094 last_hard=3.0
processed_new=260 skipped=0 row_index=260/400 last_expected=2.653 last_hard=1.0
processed_new=265 skipped=0 row_index=265/400 last_expected=2.668 last_hard=1.0
processed_new=270 skipped=0 row_index=270/400 last_expected=3.283 last_hard=4.0
processed_new=275 skipped=0 row_index=275/400 last_expected=2.723 last_hard=1.0
processed_new=280 skipped=0 row_index=280/400 last_expected=3.207 last_hard=3.0
processed_new=285 skipped=0 row_index=285/400 last_expected=2.737 last_hard=1.0
processed_new=290 skipped=0 row_index=290/400 last_expected=2.682 last_hard=1.0
processed_new=295 skipped=0 row_index=295/400 last_expected=2.759 last_hard=1.0
processed_new=300 skipped=0 row_index=300/400 last_expected=3.201 last_hard=3.0
processed_new=305 skipped=0 row_index=305/400 last_expected=2.709 last_hard=1.0
processed_new=310 skipped=0 row_index=310/400 last_expected=2.977 last_hard=3.0
processed_new=315 skipped=0 row_index=315/400 last_expected=3.165 last_hard=4.0
processed_new=320 skipped=0 row_index=320/400 last_expected=2.702 last_hard=1.0
processed_new=325 skipped=0 row_index=325/400 last_expected=3.156 last_hard=3.0
processed_new=330 skipped=0 row_index=330/400 last_expected=3.026 last_hard=3.0
processed_new=335 skipped=0 row_index=335/400 last_expected=3.176 last_hard=3.0
processed_new=340 skipped=0 row_index=340/400 last_expected=3.181 last_hard=3.0
processed_new=345 skipped=0 row_index=345/400 last_expected=3.198 last_hard=3.0
processed_new=350 skipped=0 row_index=350/400 last_expected=2.660 last_hard=1.0
processed_new=355 skipped=0 row_index=355/400 last_expected=2.706 last_hard=1.0
processed_new=360 skipped=0 row_index=360/400 last_expected=3.145 last_hard=3.0
processed_new=365 skipped=0 row_index=365/400 last_expected=2.679 last_hard=1.0
processed_new=370 skipped=0 row_index=370/400 last_expected=3.036 last_hard=3.0
processed_new=375 skipped=0 row_index=375/400 last_expected=2.708 last_hard=1.0
processed_new=380 skipped=0 row_index=380/400 last_expected=3.172 last_hard=3.0
processed_new=385 skipped=0 row_index=385/400 last_expected=3.117 last_hard=3.0
processed_new=390 skipped=0 row_index=390/400 last_expected=3.207 last_hard=3.0
processed_new=395 skipped=0 row_index=395/400 last_expected=2.745 last_hard=2.0
processed_new=400 skipped=0 row_index=400/400 last_expected=3.171 last_hard=3.0
DONE
processed_new=400
skipped=0
output=/scratch/mberzins/results/bodmas_5000_qwen35_2b_promptv2_5runs/prometheus_600sample_gen_run_01_v3/outputs/sq2/chunk_0002_judged.jsonl
Sat Jun 20 11:26:40 CEST 2026
